subset,task_id,algorithm,original_width,original_depth,original_gates,algiers_depth,algiers_width,algiers_gates,almaden_depth,almaden_width,almaden_gates,armonk_depth,armonk_width,armonk_gates,athens_depth,athens_width,athens_gates,auckland_depth,auckland_width,auckland_gates,belem_depth,belem_width,belem_gates,boeblingen_depth,boeblingen_width,boeblingen_gates,bogota_depth,bogota_width,bogota_gates,brisbane_depth,brisbane_width,brisbane_gates,brooklyn_depth,brooklyn_width,brooklyn_gates,burlington_depth,burlington_width,burlington_gates,cairo_depth,cairo_width,cairo_gates,cambridge_depth,cambridge_width,cambridge_gates,casablanca_depth,casablanca_width,casablanca_gates,cusco_depth,cusco_width,cusco_gates,essex_depth,essex_width,essex_gates,fractional_depth,fractional_width,fractional_gates,geneva_depth,geneva_width,geneva_gates,guadalupe_depth,guadalupe_width,guadalupe_gates,hanoi_depth,hanoi_width,hanoi_gates,jakarta_depth,jakarta_width,jakarta_gates,johannesburg_depth,johannesburg_width,johannesburg_gates,kawasaki_depth,kawasaki_width,kawasaki_gates,kolkata_depth,kolkata_width,kolkata_gates,kyiv_depth,kyiv_width,kyiv_gates,kyoto_depth,kyoto_width,kyoto_gates,lagos_depth,lagos_width,lagos_gates,lima_depth,lima_width,lima_gates,london_depth,london_width,london_gates,manhattan_depth,manhattan_width,manhattan_gates,manila_depth,manila_width,manila_gates,melbourne_depth,melbourne_width,melbourne_gates,montreal_depth,montreal_width,montreal_gates,mumbai_depth,mumbai_width,mumbai_gates,nairobi_depth,nairobi_width,nairobi_gates,osaka_depth,osaka_width,osaka_gates,oslo_depth,oslo_width,oslo_gates,ourense_depth,ourense_width,ourense_gates,paris_depth,paris_width,paris_gates,peekskill_depth,peekskill_width,peekskill_gates,perth_depth,perth_width,perth_gates,prague_depth,prague_width,prague_gates,poughkeepsie_depth,poughkeepsie_width,poughkeepsie_gates,quebec_depth,quebec_width,quebec_gates,quito_depth,quito_width,quito_gates,rochester_depth,rochester_width,rochester_gates,rome_depth,rome_width,rome_gates,santiago_depth,santiago_width,santiago_gates,sherbrooke_depth,sherbrooke_width,sherbrooke_gates,singapore_depth,singapore_width,singapore_gates,sydney_depth,sydney_width,sydney_gates,torino_depth,torino_width,torino_gates,toronto_depth,toronto_width,toronto_gates,valencia_depth,valencia_width,valencia_gates,vigo_depth,vigo_width,vigo_gates,washington_depth,washington_width,washington_gates,yorktown_depth,yorktown_width,yorktown_gates
1,675,qaoa,8,9,"{'rzz': 16, 'rx': 16, 'h': 8, 'measure': 8, 'barrier': 1}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",26,20,"{'u2': 8, 'cx': 10, 'u1': 6, 'u3': 8, 'measure': 8}",-1,-1,{},-1,-1,{},40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},26,20,"{'u2': 8, 'cx': 10, 'u1': 7, 'u3': 8, 'measure': 8}",-1,-1,{},74,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 6, 'measure': 8}",40,65,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},73,27,"{'rz': 8, 'sx': 8, 'cx': 2, 'ecr': 5, 'x': 4, 'measure': 8}",26,28,"{'u2': 8, 'cx': 14, 'u1': 8, 'u3': 8, 'measure': 8}",-1,-1,{},73,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 4, 'measure': 8}",-1,-1,{},-1,-1,{},40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",40,16,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},26,20,"{'u2': 8, 'cx': 10, 'u1': 6, 'u3': 8, 'measure': 8}",74,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 5, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",74,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 4, 'measure': 8}",73,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 2, 'measure': 8}",-1,-1,{},-1,-1,{},-1,-1,{},40,65,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},29,15,"{'rz': 8, 'sx': 8, 'cx': 8, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},74,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 3, 'measure': 8}",-1,-1,{},-1,-1,{},40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",74,27,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 6, 'measure': 8}",-1,-1,{},64,33,"{'rz': 8, 'sx': 8, 'cz': 10, 'x': 6, 'measure': 8}",31,20,"{'u2': 8, 'cx': 10, 'u1': 6, 'u3': 8, 'measure': 8}",75,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 3, 'measure': 8}",-1,-1,{},26,53,"{'u2': 8, 'cx': 14, 'u1': 8, 'u3': 8, 'measure': 8}",-1,-1,{},-1,-1,{},72,127,"{'rz': 8, 'sx': 8, 'ecr': 7, 'x': 3, 'measure': 8}",26,20,"{'u2': 8, 'cx': 10, 'u1': 6, 'u3': 8, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",66,133,"{'rz': 8, 'sx': 8, 'cz': 9, 'x': 6, 'measure': 8}",40,27,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{},-1,-1,{},40,127,"{'rz': 8, 'sx': 8, 'cx': 14, 'measure': 8}",-1,-1,{}
1,652,ghz,57,58,"{'measure': 57, 'cx': 56, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},278,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 11, 'measure': 57}",60,65,"{'rz': 1, 'sx': 1, 'cx': 56, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},252,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 19, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},269,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 14, 'measure': 57}",-1,-1,{},263,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 11, 'measure': 57}",267,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 19, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},60,65,"{'rz': 1, 'sx': 1, 'cx': 56, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},247,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 27, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},277,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 15, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},255,127,"{'rz': 57, 'sx': 57, 'ecr': 56, 'x': 19, 'measure': 57}",-1,-1,{},-1,-1,{},172,133,"{'rz': 57, 'sx': 57, 'cz': 56, 'measure': 57}",-1,-1,{},-1,-1,{},-1,-1,{},60,127,"{'rz': 1, 'sx': 1, 'cx': 56, 'measure': 57}",-1,-1,{}
1,251,qnn,92,915,"{'cx': 16835, 'p': 8372, 'u2': 184, 'ry': 184, 'measure': 92, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},20770,127,"{'rz': 92, 'sx': 92, 'ecr': 98, 'x': 92, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},21525,127,"{'rz': 92, 'sx': 92, 'ecr': 96, 'x': 92, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},29711,127,"{'rz': 98, 'sx': 98, 'ecr': 109, 'x': 98, 'measure': 92}",-1,-1,{},19852,127,"{'rz': 94, 'sx': 94, 'ecr': 101, 'x': 94, 'measure': 92}",23542,127,"{'rz': 99, 'sx': 99, 'ecr': 108, 'x': 99, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},26970,127,"{'rz': 98, 'sx': 98, 'ecr': 110, 'x': 98, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},22409,127,"{'rz': 96, 'sx': 96, 'ecr': 105, 'x': 96, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},27615,127,"{'rz': 97, 'sx': 97, 'ecr': 107, 'x': 97, 'measure': 92}",-1,-1,{},-1,-1,{},12057,133,"{'rz': 93, 'sx': 95, 'cz': 203, 'x': 26, 'measure': 92}",-1,-1,{},-1,-1,{},-1,-1,{},10521,127,"{'rz': 94, 'sx': 94, 'cx': 210, 'x': 94, 'measure': 92}",-1,-1,{}
1,183,ghz,80,81,"{'measure': 80, 'cx': 79, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},362,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 29, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},372,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 25, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},372,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 22, 'measure': 80}",-1,-1,{},357,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 27, 'measure': 80}",380,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 21, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},385,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 21, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},351,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 31, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},361,127,"{'rz': 80, 'sx': 80, 'ecr': 79, 'x': 27, 'measure': 80}",-1,-1,{},-1,-1,{},241,133,"{'rz': 80, 'sx': 80, 'cz': 79, 'measure': 80}",-1,-1,{},-1,-1,{},-1,-1,{},83,127,"{'rz': 1, 'sx': 1, 'cx': 79, 'measure': 80}",-1,-1,{}
1,426,ghz,53,54,"{'measure': 53, 'cx': 52, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},213,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 25, 'measure': 53}",56,65,"{'rz': 1, 'sx': 1, 'cx': 52, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},223,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 21, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},252,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 13, 'measure': 53}",-1,-1,{},220,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 23, 'measure': 53}",262,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 12, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},56,65,"{'rz': 1, 'sx': 1, 'cx': 52, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},249,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 16, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},221,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 23, 'measure': 53}",-1,-1,{},160,53,"{'u3': 10, 'u1': 7, 'u2': 18, 'cx': 72, 'measure': 53}",-1,-1,{},-1,-1,{},241,127,"{'rz': 53, 'sx': 53, 'ecr': 52, 'x': 18, 'measure': 53}",-1,-1,{},-1,-1,{},160,133,"{'rz': 53, 'sx': 53, 'cz': 52, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},56,127,"{'rz': 1, 'sx': 1, 'cx': 52, 'measure': 53}",-1,-1,{}
1,508,qpeinexact,57,170,"{'cp': 1596, 'h': 112, 'measure': 56, 'swap': 28, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5859,127,"{'rz': 58, 'sx': 58, 'ecr': 61, 'x': 43, 'measure': 56}",2331,65,"{'rz': 58, 'sx': 58, 'cx': 122, 'x': 40, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},4752,127,"{'rz': 59, 'sx': 59, 'ecr': 61, 'x': 44, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5584,127,"{'rz': 61, 'sx': 61, 'ecr': 66, 'x': 48, 'measure': 56}",-1,-1,{},5959,127,"{'rz': 58, 'sx': 58, 'ecr': 62, 'x': 40, 'measure': 56}",5960,127,"{'rz': 66, 'sx': 66, 'ecr': 70, 'x': 46, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},1875,65,"{'rz': 58, 'sx': 57, 'cx': 123, 'x': 37, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},6354,127,"{'rz': 60, 'sx': 60, 'ecr': 63, 'x': 42, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},6313,127,"{'rz': 57, 'sx': 57, 'ecr': 60, 'x': 41, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5303,127,"{'rz': 60, 'sx': 60, 'ecr': 62, 'x': 47, 'measure': 56}",-1,-1,{},-1,-1,{},4649,133,"{'sx': 61, 'rz': 60, 'cz': 113, 'x': 19, 'measure': 56}",-1,-1,{},-1,-1,{},-1,-1,{},2338,127,"{'rz': 57, 'sx': 57, 'cx': 117, 'x': 34, 'measure': 56}",-1,-1,{}
1,24,ae,45,264,"{'cp': 946, 'cx': 88, 'u': 45, 'measure': 45, 'u2': 44, 'u3': 44, 'h': 44, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3965,127,"{'rz': 45, 'sx': 45, 'ecr': 46, 'x': 35, 'measure': 45}",2143,65,"{'rz': 45, 'sx': 45, 'cx': 112, 'x': 28, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},4370,127,"{'rz': 45, 'sx': 45, 'ecr': 45, 'x': 35, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3674,127,"{'rz': 46, 'sx': 46, 'ecr': 46, 'x': 35, 'measure': 45}",-1,-1,{},4086,127,"{'rz': 45, 'sx': 45, 'ecr': 48, 'x': 39, 'measure': 45}",4195,127,"{'rz': 47, 'sx': 47, 'ecr': 50, 'x': 38, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},1917,65,"{'rz': 47, 'sx': 45, 'cx': 99, 'x': 26, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},4577,127,"{'rz': 49, 'sx': 49, 'ecr': 52, 'x': 40, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3515,127,"{'rz': 47, 'sx': 47, 'ecr': 49, 'x': 35, 'measure': 45}",-1,-1,{},1783,53,"{'u2': 46, 'u3': 41, 'cx': 102, 'u1': 39, 'measure': 45}",-1,-1,{},-1,-1,{},4641,127,"{'rz': 46, 'sx': 46, 'ecr': 49, 'x': 34, 'measure': 45}",-1,-1,{},-1,-1,{},3889,133,"{'rz': 45, 'sx': 45, 'cz': 78, 'x': 22, 'measure': 45}",-1,-1,{},-1,-1,{},-1,-1,{},2047,127,"{'rz': 46, 'sx': 46, 'cx': 106, 'x': 31, 'measure': 45}",-1,-1,{}
1,33,ae,53,312,"{'cp': 1326, 'cx': 104, 'u': 53, 'measure': 53, 'u2': 52, 'u3': 52, 'h': 52, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5822,127,"{'rz': 60, 'sx': 60, 'ecr': 63, 'x': 45, 'measure': 53}",2286,65,"{'rz': 53, 'sx': 53, 'cx': 114, 'x': 31, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5266,127,"{'rz': 56, 'sx': 56, 'ecr': 58, 'x': 44, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5248,127,"{'rz': 55, 'sx': 55, 'ecr': 59, 'x': 41, 'measure': 53}",-1,-1,{},5937,127,"{'rz': 53, 'sx': 53, 'ecr': 54, 'x': 43, 'measure': 53}",4311,127,"{'rz': 54, 'sx': 54, 'ecr': 56, 'x': 44, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},2395,65,"{'rz': 54, 'sx': 53, 'cx': 114, 'x': 34, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5782,127,"{'rz': 60, 'sx': 60, 'ecr': 64, 'x': 47, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},5569,127,"{'rz': 54, 'sx': 54, 'ecr': 56, 'x': 40, 'measure': 53}",-1,-1,{},1767,53,"{'u2': 53, 'u3': 37, 'cx': 116, 'u1': 38, 'measure': 53}",-1,-1,{},-1,-1,{},5332,127,"{'rz': 53, 'sx': 53, 'ecr': 56, 'x': 43, 'measure': 53}",-1,-1,{},-1,-1,{},3912,133,"{'rz': 56, 'sx': 60, 'cz': 107, 'x': 24, 'measure': 53}",-1,-1,{},-1,-1,{},-1,-1,{},2392,127,"{'rz': 54, 'sx': 53, 'cx': 115, 'x': 38, 'measure': 53}",-1,-1,{}
1,20,ae,41,240,"{'cp': 780, 'cx': 80, 'u': 41, 'measure': 41, 'u2': 40, 'u3': 40, 'h': 40, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3896,127,"{'rz': 46, 'sx': 46, 'ecr': 46, 'x': 35, 'measure': 41}",1661,65,"{'rz': 42, 'sx': 42, 'cx': 92, 'x': 24, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3508,127,"{'rz': 47, 'sx': 47, 'ecr': 48, 'x': 37, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},4638,127,"{'rz': 45, 'sx': 45, 'ecr': 48, 'x': 39, 'measure': 41}",-1,-1,{},3371,127,"{'rz': 41, 'sx': 41, 'ecr': 42, 'x': 32, 'measure': 41}",4050,127,"{'rz': 41, 'sx': 41, 'ecr': 43, 'x': 34, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},1817,65,"{'rz': 43, 'sx': 43, 'cx': 96, 'x': 30, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},3104,127,"{'rz': 41, 'sx': 41, 'ecr': 42, 'x': 30, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},4281,127,"{'rz': 41, 'sx': 41, 'ecr': 43, 'x': 33, 'measure': 41}",-1,-1,{},1406,53,"{'u2': 39, 'cx': 87, 'u3': 32, 'u1': 35, 'measure': 41}",-1,-1,{},-1,-1,{},3974,127,"{'rz': 44, 'sx': 44, 'ecr': 45, 'x': 33, 'measure': 41}",-1,-1,{},-1,-1,{},3012,133,"{'rz': 42, 'sx': 43, 'cz': 79, 'x': 20, 'measure': 41}",-1,-1,{},-1,-1,{},-1,-1,{},1737,127,"{'rz': 44, 'sx': 43, 'cx': 95, 'x': 29, 'measure': 41}",-1,-1,{}
1,437,graphstate,34,9,"{'h': 34, 'cz': 34, 'measure': 34, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},147,127,"{'rz': 42, 'sx': 42, 'ecr': 40, 'x': 20, 'measure': 34}",38,65,"{'rz': 35, 'sx': 35, 'cx': 57, 'x': 1, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},72,127,"{'rz': 43, 'sx': 43, 'ecr': 44, 'x': 15, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},164,127,"{'rz': 34, 'sx': 34, 'ecr': 36, 'x': 17, 'measure': 34}",-1,-1,{},128,127,"{'rz': 39, 'sx': 39, 'ecr': 37, 'x': 17, 'measure': 34}",84,127,"{'rz': 41, 'sx': 41, 'ecr': 42, 'x': 19, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},37,65,"{'rz': 35, 'sx': 35, 'cx': 57, 'x': 1, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},146,127,"{'rz': 47, 'sx': 47, 'ecr': 49, 'x': 23, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},-1,-1,{},94,127,"{'rz': 42, 'sx': 42, 'ecr': 42, 'x': 17, 'measure': 34}",-1,-1,{},40,53,"{'u2': 35, 'cx': 71, 'u1': 1, 'u3': 1, 'measure': 34}",-1,-1,{},-1,-1,{},90,127,"{'rz': 49, 'sx': 49, 'ecr': 48, 'x': 15, 'measure': 34}",-1,-1,{},-1,-1,{},79,133,"{'rz': 34, 'sx': 44, 'cz': 53, 'measure': 34}",-1,-1,{},-1,-1,{},-1,-1,{},45,127,"{'rz': 36, 'sx': 36, 'cx': 64, 'x': 1, 'measure': 34}",-1,-1,{}
